Date         Time    	TZ 	Date         Time    	TZ 	Spd	Vfyd	Raw
Jan-06, 2026 02:41:18	UTC	Jan-05, 2026 21:41:18	EST	78		
Jan-06, 2026 02:41:18	UTC	Jan-05, 2026 21:41:18	EST	80		
Jan-06, 2026 02:41:19	UTC	Jan-05, 2026 21:41:19	EST	78		
Jan-06, 2026 02:41:19	UTC	Jan-05, 2026 21:41:19	EST	80		80 @1°
Jan-06, 2026 02:41:19	UTC	Jan-05, 2026 21:41:19	EST	82		82 @1°
Jan-06, 2026 02:41:19	UTC	Jan-05, 2026 21:41:19	EST	80		80 @1°
Jan-06, 2026 02:41:20	UTC	Jan-05, 2026 21:41:20	EST	79	99%	79 @1°
Jan-06, 2026 02:41:20	UTC	Jan-05, 2026 21:41:20	EST	78	0%	78 @1°
Jan-06, 2026 02:41:20	UTC	Jan-05, 2026 21:41:20	EST	79	99%	79 @1°
Jan-06, 2026 02:41:20	UTC	Jan-05, 2026 21:41:20	EST	82	99%	82 @1°
Jan-06, 2026 02:41:21	UTC	Jan-05, 2026 21:41:21	EST	77	95%	
Jan-06, 2026 02:41:21	UTC	Jan-05, 2026 21:41:21	EST	79	99%	
Jan-06, 2026 02:41:21	UTC	Jan-05, 2026 21:41:21	EST	78	0%	
Jan-06, 2026 02:41:21	UTC	Jan-05, 2026 21:41:21	EST	99	45%	
Jan-06, 2026 02:41:21	UTC	Jan-05, 2026 21:41:21	EST	99	50%	
Jan-06, 2026 02:41:21	UTC	Jan-05, 2026 21:41:21	EST	99	100%	
